frame,class,conf,xmin,ymin,xmax,ymax
3043,No Helmet,0.42,183,197,392,347
3044,No Helmet,0.33,194,201,397,331
3045,No Helmet,0.43,209,204,411,326
3046,No Helmet,0.3,214,209,423,332
3047,No Helmet,0.27,215,211,430,342
3069,No Helmet,0.42,76,234,285,429
3070,No Helmet,0.44,50,242,264,431
3071,No Helmet,0.34,50,249,219,421
3072,No Helmet,0.26,24,253,200,430
3226,No Helmet,0.25,178,229,378,414
3227,No Helmet,0.25,178,229,378,414
3228,No Helmet,0.42,191,229,395,415
3229,No Helmet,0.42,191,229,395,415
3230,No Helmet,0.47,198,230,408,402
3231,No Helmet,0.47,198,230,408,402
3232,No Helmet,0.49,202,230,416,400
3233,No Helmet,0.42,210,229,421,407
3234,No Helmet,0.42,210,229,421,407
3235,No Helmet,0.42,207,228,435,388
3236,No Helmet,0.42,207,228,435,388
3237,No Helmet,0.38,215,224,433,416
3238,No Helmet,0.38,215,224,433,416
3239,No Helmet,0.53,219,225,429,361
3239,Safety Glass,0.29,247,295,392,361
3240,No Helmet,0.53,219,225,429,361
3240,Safety Glass,0.29,247,295,392,361
3241,No Helmet,0.48,207,218,434,375
3242,No Helmet,0.48,207,218,434,375
3243,No Helmet,0.58,210,213,425,330
3244,No Helmet,0.57,199,210,420,321
3245,No Helmet,0.57,199,210,420,321
3246,No Helmet,0.64,196,203,421,325
3247,No Helmet,0.64,196,203,421,325
3248,No Helmet,0.52,203,198,410,312
3249,No Helmet,0.52,203,198,410,312
3250,No Helmet,0.45,198,194,404,323
3250,Safety Glass,0.27,210,267,386,337
3251,No Helmet,0.45,198,194,404,323
3251,Safety Glass,0.27,210,267,386,337
3252,No Helmet,0.49,186,188,410,321
3252,Safety Glass,0.3,222,262,376,328
3253,No Helmet,0.49,186,188,410,321
3253,Safety Glass,0.3,222,262,376,328
3254,No Helmet,0.38,184,184,410,349
3255,No Helmet,0.46,183,181,409,351
3256,No Helmet,0.46,183,181,409,351
3257,No Helmet,0.44,185,181,409,350
3258,No Helmet,0.44,185,181,409,350
3259,No Helmet,0.46,186,184,410,343
3260,No Helmet,0.46,186,184,410,343
3261,No Helmet,0.39,190,186,407,348
3262,No Helmet,0.51,189,191,407,334
3262,Safety Glass,0.28,229,258,373,319
3263,No Helmet,0.51,189,191,407,334
3263,Safety Glass,0.28,229,258,373,319
3264,No Helmet,0.49,195,194,398,317
3265,No Helmet,0.49,195,194,398,317
3266,No Helmet,0.39,195,195,399,317
3266,Safety Glass,0.26,218,261,382,323
3267,No Helmet,0.39,195,195,399,317
3267,Safety Glass,0.26,218,261,382,323
3268,No Helmet,0.36,198,197,396,317
3268,Safety Glass,0.3,215,261,376,327
3269,No Helmet,0.4,187,196,402,369
3269,Safety Glass,0.39,214,261,374,326
3270,No Helmet,0.4,187,196,402,369
3270,Safety Glass,0.39,214,261,374,326
3271,No Helmet,0.32,191,198,400,379
3271,Safety Glass,0.3,218,262,372,327
3272,No Helmet,0.32,191,198,400,379
3272,Safety Glass,0.3,218,262,372,327
3273,Safety Glass,0.5,227,264,369,328
3273,No Helmet,0.35,189,200,401,369
3274,Safety Glass,0.5,227,264,369,328
3274,No Helmet,0.35,189,200,401,369
3275,No Helmet,0.48,192,204,396,343
3275,Safety Glass,0.45,219,269,366,336
3276,No Helmet,0.48,192,204,396,343
3276,Safety Glass,0.45,219,269,366,336
3277,No Helmet,0.48,190,206,396,341
3277,Safety Glass,0.39,210,272,362,337
3278,No Helmet,0.48,190,206,396,341
3278,Safety Glass,0.39,210,272,362,337
3279,Safety Glass,0.45,208,272,364,335
3279,No Helmet,0.44,196,207,392,341
3280,No Helmet,0.4,192,208,392,330
3280,Safety Glass,0.3,205,273,367,334
3281,No Helmet,0.4,192,208,392,330
3281,Safety Glass,0.3,205,273,367,334
3282,No Helmet,0.47,190,209,396,349
3282,Safety Glass,0.34,203,275,369,344
3283,No Helmet,0.47,190,209,396,349
3283,Safety Glass,0.34,203,275,369,344
3284,No Helmet,0.48,190,209,397,355
3284,Safety Glass,0.48,203,277,368,342
3285,No Helmet,0.48,190,209,397,355
3285,Safety Glass,0.48,203,277,368,342
3286,No Helmet,0.53,186,209,394,339
3286,Safety Glass,0.48,206,276,366,344
3287,No Helmet,0.53,186,209,394,339
3287,Safety Glass,0.48,206,276,366,344
3288,No Helmet,0.5,185,210,394,349
3288,Safety Glass,0.46,203,277,363,344
3289,No Helmet,0.5,185,210,394,349
3289,Safety Glass,0.46,203,277,363,344
3290,Safety Glass,0.48,203,277,360,344
3290,No Helmet,0.46,184,210,391,347
3291,No Helmet,0.49,182,210,385,318
3291,Safety Glass,0.42,208,278,359,341
3292,No Helmet,0.49,182,210,385,318
3292,Safety Glass,0.42,208,278,359,341
3293,No Helmet,0.52,182,209,386,322
3293,Safety Glass,0.4,209,278,358,341
3294,No Helmet,0.52,182,209,386,322
3294,Safety Glass,0.4,209,278,358,341
3295,Safety Glass,0.5,206,277,357,344
3295,No Helmet,0.46,181,210,387,336
3296,Safety Glass,0.5,206,277,357,344
3296,No Helmet,0.46,181,210,387,336
3297,No Helmet,0.52,179,211,383,323
3297,Safety Glass,0.44,206,276,356,343
3298,No Helmet,0.49,177,211,382,333
3298,Safety Glass,0.38,206,276,358,342
3299,No Helmet,0.49,177,211,382,333
3299,Safety Glass,0.38,206,276,358,342
3300,Safety Glass,0.49,203,276,357,345
3300,No Helmet,0.48,174,210,383,338
3301,Safety Glass,0.49,203,276,357,345
3301,No Helmet,0.48,174,210,383,338
3302,No Helmet,0.46,180,210,381,342
3302,Safety Glass,0.39,207,276,357,344
3303,No Helmet,0.46,180,210,381,342
3303,Safety Glass,0.39,207,276,357,344
3304,No Helmet,0.46,174,210,384,336
3304,Safety Glass,0.42,206,276,356,343
3305,No Helmet,0.43,175,208,382,357
3305,Safety Glass,0.34,205,275,356,344
3306,No Helmet,0.43,175,208,382,357
3306,Safety Glass,0.34,205,275,356,344
3307,No Helmet,0.43,174,206,384,342
3307,Safety Glass,0.34,185,274,350,334
3308,No Helmet,0.43,174,206,384,342
3308,Safety Glass,0.34,185,274,350,334
3309,No Helmet,0.47,173,202,382,319
3309,Safety Glass,0.43,192,273,351,333
3310,No Helmet,0.47,173,202,382,319
3310,Safety Glass,0.43,192,273,351,333
3311,No Helmet,0.41,168,196,385,378
3311,Safety Glass,0.28,186,269,355,336
3312,No Helmet,0.41,168,196,385,378
3312,Safety Glass,0.28,186,269,355,336
3313,No Helmet,0.35,162,192,391,378
3313,Safety Glass,0.29,190,270,355,336
3314,No Helmet,0.35,162,192,391,378
3314,Safety Glass,0.29,190,270,355,336
3315,No Helmet,0.37,167,195,382,318
3315,Safety Glass,0.26,189,270,358,336
3316,No Helmet,0.39,165,188,384,331
3317,No Helmet,0.39,165,188,384,331
3318,No Helmet,0.37,163,185,388,330
3319,No Helmet,0.37,163,185,388,330
3320,No Helmet,0.37,157,185,397,321
3321,No Helmet,0.37,157,185,397,321
3322,No Helmet,0.37,159,182,400,335
3323,No Helmet,0.37,159,182,400,335
3324,No Helmet,0.35,154,182,406,330
3325,No Helmet,0.35,154,182,406,330
3326,No Helmet,0.42,155,183,405,333
3327,No Helmet,0.42,155,183,405,333
3328,No Helmet,0.43,151,180,408,334
3329,No Helmet,0.38,150,178,411,324
3330,No Helmet,0.38,150,178,411,324
3331,No Helmet,0.36,150,176,413,330
3332,No Helmet,0.36,150,176,413,330
3333,No Helmet,0.3,152,175,425,335
3334,No Helmet,0.3,152,175,425,335
3335,No Helmet,0.34,162,176,400,316
3336,No Helmet,0.42,156,172,409,322
3337,No Helmet,0.42,156,172,409,322
3338,No Helmet,0.37,151,172,403,315
3339,No Helmet,0.37,151,172,403,315
3340,No Helmet,0.31,147,170,397,319
3341,No Helmet,0.31,147,170,397,319
3342,No Helmet,0.37,140,169,394,313
3343,No Helmet,0.42,135,170,413,303
3344,No Helmet,0.42,135,170,413,303
3345,No Helmet,0.34,132,168,404,305
3346,No Helmet,0.34,132,168,404,305
3347,No Helmet,0.33,127,168,407,308
3348,No Helmet,0.33,127,168,407,308
3349,No Helmet,0.38,133,166,403,318
3350,No Helmet,0.38,133,166,403,318
3351,No Helmet,0.32,128,165,403,318
3352,No Helmet,0.34,130,162,396,325
3353,No Helmet,0.34,130,162,396,325
3354,No Helmet,0.3,125,162,399,322
3355,No Helmet,0.3,125,162,399,322
3356,No Helmet,0.28,138,160,403,325
3357,No Helmet,0.28,138,160,403,325
3358,No Helmet,0.31,125,158,400,330
3359,No Helmet,0.31,125,158,400,330
3360,No Helmet,0.26,120,156,408,320
3361,No Helmet,0.33,121,156,408,315
3364,No Helmet,0.38,122,154,408,322
3365,No Helmet,0.38,122,154,408,322
3366,No Helmet,0.28,117,154,412,329
3367,No Helmet,0.28,117,154,412,329
3368,No Helmet,0.26,125,152,404,332
3369,No Helmet,0.28,135,152,410,318
3370,No Helmet,0.28,135,152,410,318
3372,No Helmet,0.28,133,151,407,324
3442,No Helmet,0.3,107,144,382,316
3443,No Helmet,0.3,107,144,382,316
3444,No Helmet,0.29,106,143,385,310
3445,No Helmet,0.29,106,143,385,310
3446,No Helmet,0.29,110,142,383,316
3447,No Helmet,0.29,105,140,388,312
3448,No Helmet,0.29,105,140,388,312
3449,No Helmet,0.26,103,140,397,309
3450,No Helmet,0.26,103,140,397,309
3451,No Helmet,0.29,121,145,369,280
3452,No Helmet,0.29,121,145,369,280
3471,No Helmet,0.3,111,141,366,285
3472,No Helmet,0.3,111,141,366,285
3477,No Helmet,0.29,114,142,369,284
3480,No Helmet,0.3,112,143,372,279
3481,No Helmet,0.3,112,143,372,279
3482,No Helmet,0.26,100,139,391,316
3483,No Helmet,0.26,100,139,391,316
3492,No Gloves,0.31,156,341,370,480
3493,No Gloves,0.31,156,341,370,480
3494,No Gloves,0.36,136,341,393,480
3495,No Gloves,0.36,136,341,393,480
3635,No Helmet,0.33,171,169,404,319
3636,No Helmet,0.33,171,169,404,319
3637,No Helmet,0.48,189,187,406,307
3638,No Helmet,0.42,194,195,408,314
3639,No Helmet,0.44,190,201,417,338
3640,No Helmet,0.43,191,206,416,325
3641,No Helmet,0.41,186,206,407,331
3642,No Helmet,0.52,185,204,405,336
3642,Safety Glass,0.34,204,287,367,351
3643,No Helmet,0.52,179,203,406,335
3644,No Helmet,0.51,176,205,405,333
3645,No Helmet,0.43,174,202,401,323
3645,Safety Glass,0.3,201,279,369,344
3646,No Helmet,0.47,174,203,405,326
3646,Safety Glass,0.34,201,278,369,346
3647,No Helmet,0.48,175,201,406,337
3648,No Helmet,0.51,176,204,403,321
3648,Safety Glass,0.3,201,279,368,345
3649,No Helmet,0.51,178,204,404,327
3649,Safety Glass,0.31,203,284,370,352
3650,No Helmet,0.54,178,205,400,330
3650,Safety Glass,0.27,203,280,368,346
3651,No Helmet,0.45,176,205,402,343
3651,Safety Glass,0.28,205,279,366,346
3652,No Helmet,0.5,177,206,401,328
3652,Safety Glass,0.31,208,280,364,344
3653,No Helmet,0.47,173,207,392,329
3653,Safety Glass,0.33,202,280,365,346
3654,No Helmet,0.41,178,207,401,348
3654,Safety Glass,0.34,203,279,363,346
3655,No Helmet,0.48,176,206,400,340
3656,No Helmet,0.48,176,205,399,331
3656,Safety Glass,0.26,210,278,361,345
3657,No Helmet,0.5,178,204,399,339
3658,No Helmet,0.49,178,205,398,340
3659,No Helmet,0.49,176,204,400,333
3660,No Helmet,0.45,173,204,399,346
3661,No Helmet,0.5,170,203,399,344
3662,No Helmet,0.48,172,204,399,332
3663,No Helmet,0.5,172,206,389,334
3664,No Helmet,0.49,171,207,395,336
3665,No Helmet,0.44,170,209,387,328
3666,No Helmet,0.45,171,211,383,327
